,이름,평점(별),작성시간,내용
213,갱생,4개,2021년 7월 26일,잘 사용하고 있습니다만 딱 하나만 부탁드리고 싶습니다. [코디] 페이지에서 코디맵에 하트나 즐겨찾기를 눌러 해당 코디를 쉽게 되찾아볼 수 있는 기능을 추가해주셨으면 합니다. 좋은 서비스에 항상 감사드립니다.
214,노현숙,5개,2024년 3월 23일,좋은제품이 많아서 자주 이용해요
215,반디불,1개,2024년 1월 28일,즉시할인 짜증난다... 카드 발급해야...그럼 낚시좀 하지말길...어휴
216,김민옥,5개,2024년 3월 28일,배송도 빠르고 좋아요
217,요나씨,1개,2024년 4월 3일,사이즈 비교시 카테고리에 맞게 보여주세요. ex) 후드티 비교시 후드티만 보이게
218,김현우,5개,2024년 3월 24일,최고의 패션플랫폼
219,forest포레스트런,5개,2024년 2월 19일,애들이 왜 무신사가서 옷사는지 알거같네요. 마음에드는 옷들이 많아요. 배송도빠륵ᆢ
220,박멸치,5개,2020년 5월 31일,"『 aaaa7 』ㅊㅜ천 인입니당 잘 사용하고 있어요. 상품설명이 잘 되어 있고, 결제수단이 여러가지라서 좋아요 그리고 아주 편리합니다. 특히 장바구니에 담은후 품절되는 수도 있는데 물건이 품절되면 다시 재입고되고 알아서 좋습니다. 배송도 만족하구 옷들도 다 만족이에요. 반품같은 것도 후처리 빨라서 좋구요. 신사때문에 좋은 제품들 빠르게 만나서 확실히 편해요. 쿠폰도 잘 주시고요~~ 더 좋은 제품 많이 선보여 주세용. 다른 마켓쇼핑몰에비해 top 이네요^^"
221,하리,5개,2024년 4월 2일,싸고 빠르고 좋아요
222,수졈,1개,2024년 3월 20일,24.03.20 3시 반쯤부터 2시간째 앱 접속이 안 됨 업데이트해도 안 열림ㄹㅈㄷ +) 3시간 지난 지금 삭제 후 재설치해도 안열림 403 forbidden
223,ᄆᄆᄅᄃ,5개,2024년 2월 23일,무신사에서 쿠폰적용해서 엄청 저렴하게 샀습니다. 최고인듯해요
224,Google 사용자,4개,2020년 3월 14일,쇼핑할 때 잘 사용하고 있습니다 그런데 좋아요 눌러 놓은 상품들 정렬창에서 인기순으로도 정렬되게 해줬으면 좋겠습니다 그리고 품절 상품은 투명하게 나온다던지 기존 상품들과 다르게 표시되면 편할 것 같아요!
225,이혜미,5개,2023년 11월 19일,배송도 생각보다 빠르고 앱 사용도 편리하고 좋아요
226,구구구구,1개,2021년 12월 5일,"환불 시스템에 버그가 있는건지, 배송비 발생 안되는 환불이었는데 발생.. 문의 세번만에 환불받음.. 제품 가격대는 높은 편인데 서비스는 그만큼은 아닌거 같아서 그러네요. 그리고 사이즈추천은 왜 한사이즈 작게 하는지 모르겠음. 품절 한번 됬던 옷이라 급하게 사느라 추천하는대로 샀더니, 허리가 작아서 숨을 못쉬겠는거임. 성급하게 구매확정도해서 환불도 안됨.--여기서 옷을 지금까지 30만원어치 좀 넘게 사본거 같은데 100% 만족한 적도 한번도 없음. 대체로 가격에비해 별로임."
227,Google 사용자,1개,2018년 10월 2일,앱 업데이트가 왜 이렇게 된거죠?? 마이페이지가 오른쪽 하단으로 내려간 것도 불만인데 문제는 가독성이 너무 떨어집니다. 전체적으로 겉멋만 번지르르하고 사용자 편의성은 최악입니다. 업데이트 전에 경영진에서 사전검토 안하나요?? 앱 평가 태어나서 처음 남길정도로 최악의 업데이트입니다..다시 뜯어고치시길
228,이에낀게껍질,5개,2023년 11월 27일,피드백 부터 판매까지 잘하시는 것 같아요. 상품도 보기 좋게 잘 나열해두셨구요
229,팍에이스,5개,2024년 2월 25일,이벤트도 너무마음에들고 좋은상품들도많네요
230,Google 사용자,3개,2018년 11월 23일,아니 연예인 콘서트같은거 한번열면 서버터져서 난리인데 옷행사 심지어 99퍼까지 행사하는 이벤트를 열었는데 서버가 터졌다고 찡찡대며 별점테러? 콘서트 티켓같은거 예매할때마다 인터파크한테 서버늘리라고 따지는거랑 뭐가틀린거죠? 애초에 이벤트 하나때문에 서버 증설하는게 말이됩니까;; 서버 유지비 얼마나 되는지 알고나 하는 소리신지? 그리고 저도 12시 반정도에 접속 성공해서 득템할거 다얻었는데 애초에 할인 겁나쎄고 누가봐도 겁나이쁜 물품 득템할 생각이 있었으면 상식적으로 폰으로 접속을 하면 안되는거 아니냐
231,도란,2개,2021년 6월 26일,"떨어진 이미지와 점점 잡다해지는 UI와 기능, 개선되지않는 트래픽 문제 나름 2년 가까이 사용해 오고있었지만 이젠 그만 다른 플랫폼으로 대체할 때가 되었군요 그동안 그래도 잘 사용했습니다~"
232,형민,5개,2024년 2월 21일,배달이 쪼까 늦는거 빼고는 너무 좋네
233,정원규,5개,2024년 2월 4일,간편하고 원하는 다양한제품이있어요
234,권효신,5개,2023년 11월 20일,배달이 늦게 오는 거 빼고는 옷 종류도 많고 좋아요.그리고 빅세일을 많이 해서 좋아요.
235,Google 사용자,1개,2020년 4월 6일,우신사 한 번 잘못 눌렀다가 계속 메인 페이지가 우신사로 노출되고 있어서 삭제 뒤 재설치 중입니다. 대체 왜 자동설정을 적용시켜 두셨는지 개발자분들을 이해할 수가 없습니다ㅋㅋㅋ우신사를 이용하고자 하는 고객들의 편의를 고려했다기엔... 영 잘못 짚은 듯. 여자도 무신사에서 옷 삽니다.
236,전시우,5개,2023년 12월 15일,이번에 처음으로 무신사에서 구매를 해 봤는데요. 모든 물건에 대해 긍정적인 평가가 많아서 좋았고요. 구매 방법도 쉽고 간편해서 좋았습니다^^
237,선도반장,4개,2023년 11월 21일,ui가 불편한점이 좀 있고 가독성이 좀 떨어지긴 하는데 서비스 자체는 만족합니다
238,shido kim,3개,2023년 12월 4일,세일에 기준이 없음 오늘 세일 많이 해서 사면 몇일뒤 더 세일해서 팜 속은 느낌이 강하게 난다 할거면 세일 기간이라도 명시해주지 거의 복불복게임 급으로 눈에 불을 키고 언제가 제일 저렴한지 봐야됨
239,정진!!,5개,2024년 2월 8일,옷 편하게 잘 살 수 있어서 너무 좋습니다 ㅎㅎ
240,dk l,2개,2023년 3월 15일,렉이 너무 심하네요 가격설정의 경우 적용해서 보면 바로 가격 설정이 취소되며 새로고침됩니다. 이거 말고도 렉이 너무 많고 너무 느려요. 비슷한 다른 어플들이랑 비교됩니다.
241,조현숙,1개,2021년 7월 24일,"뭔가 잡다하고 조잡스러워졌음... TV,골프,매거진 같은걸 메인에 놓고 무신사페이와 현대카드도 또 따로 빼놓고.. 기획전같은걸 세일에 한번에 다 몰아놓고, 쓸데없이 좋아요 눌러놓은 상품들 바로 볼 수 있는 버튼을 snap으로 바꿔서 궁금하지도 않은 무신사 크루 보여주고 번거롭게 한번 더 눌러서 내가 좋다고 표시한 상품을 봐야함. 그리고 모든 페이지가 걍 다 광고처럼 보이는 애들만 나열되어있고 예전처럼 추천에 올라오는 것들도 다 광고같음... 쌓여있는 포인트들만 후딱 쓰고 그냥 다른데로 갈아타야겠음"
242,Google 사용자,5개,2024년 3월 6일,아이바지 잘샀네요 아이도 저도 맘에쏘옥듭니다.
243,Bro Y,1개,2021년 5월 5일,"본인들의 강점이 뭐였는지 전혀 인지하지 못했던 회사로 기억될거 같습니다. 본의였든 아니든 한번은 실수일 수 있지만, 두번은 대중들에게 실수로 받아들여지기 어려울겁니다. 두 번의 쓰레기같은 의사결정에 대한 회사 내부의 자정작용과 함께 그 결과가 외부에 투명하게 공개되지 않으면 떠난 분들은 아마 다시 돌아오지 않을겁니다. 대체재가 많은 분야 특성상에서도요. 하지만 이 글에 대한 댓글도 결국 복붙으로 처리하시겠죠. 현재 모습을 보면, 좋은 의류 브랜드/사이트로 남을 수 있었던 과거 모습들이 참 아쉽네요."
244,김기웅,4개,2021년 4월 11일,"가성비 좋은 무탠다드가 있는 곳이자, 이용자 체헝별로 선호하는 사이즈를 볼 수 있어서 고민하는 시간을 아껴서 좋았습니다. 인터페이스가 전체적으로 깔끔하고 결제나 할인 같은 시스템이 편하고 깔끔하기 볼 수 있도록 디자인 되어 있어서 미형적인 부분도 만족했습니다."
245,별빛starlight,5개,2024년 2월 15일,가격도 싸지만 품질이 좋아요
246,Kimbg Kim,5개,2024년 3월 16일,작당한 가격에 입을옷이 많내요~
247,Kyung Sung Lee,5개,2024년 4월 1일,좋은 품질 좋은 가격 더이상 뭐?
248,강형구,1개,2024년 4월 3일,광고좀 적당히 떠라;
249,노은영,4개,2024년 3월 20일,화면이 어려움 복잡
250,아린맘,1개,2024년 3월 21일,재고확인하고 교환 신청했더니 1주일지나서 재고 없다며 강제 환불조취하더니 배송비는 6000원 받아감 ㅋㅋㅋ (환불 배송비는 3000원임) 어이없어서 글남기니 무능한 담당자가 교환/환불 배송비는 6000원이라고 답변함
251,Juhee Yoo,1개,2024년 3월 27일,업데이트 오류 있는 듯
252,Gyuhyeon Jeon,3개,2024년 3월 29일,접속할때마다 로그아웃 되어 있습니다
253,김준영,4개,2023년 10월 27일,옷들도 예쁘고 내가 원하는것도 많아 구매하여 코디 또한 모델들 보면서 할수있어 좋음
254,김상범,5개,2024년 3월 27일,너무 좋아요! 덕분에 신발 싸게 구매했습니다! 감사합니다. 무신사!
255,나는나,5개,2024년 3월 19일,힙해서 좋네요. 옷이랑 신발 무조건 여기서사욤. 비교도되고. 다자인도개성있어서 좋아요~~
256,jy KIM,5개,2024년 3월 15일,다양하고 예쁜 상품들이 많다.
257,홍씨,5개,2024년 3월 22일,쿠폰 받을때 검색기능이 있었음 좋겠어요
258,이현민,5개,2024년 3월 24일,이용하기 아주 편리합니다
259,김진주,5개,2024년 3월 30일,다른건 다 좋은데 ui/ux가 너무 불편합니다
260,Google 사용자,2개,2019년 10월 27일,"알림으로 오는 기획전 (니트기획전 등등)볼 때 한 제품 보고 나오면 봤던 제품, 위치에 없고 맨 아래로 내려가져있어서 하나 볼때마다 다시 올라가서 찾아야해서 넘 불편해요. 뿐만아니라 좋아요한 상품들도 하나보고 다시 나올때도 좋아요 목록이 아니라 딴 페이지가 떠요."
261,김나은,4개,2020년 9월 28일,정품제품만 팔아서 정말 좋아요! 하지만 환불을 하려고했는데 연락이 잘 되지 않아서 결국 신청은 됐는데 택배사에서 가져가시지를 않으셔서 겨우 무신사에 문의했는데 소통이 조금 번거롭더라구요.. 그래서 별 하나 뺐습니다! 그래도 좋은 앱이라고 생각해요! 다른 곳보다 혜택이 많아 더 저렴하게 구매할 수 있었어요!!♡
262,Google 사용자,5개,2019년 7월 4일,무신사하게된뒤로 항상 여기서만 사게되고 딴데서는 못사겠네요...ㅜㅜ 근데 살짝 개선되면 좋을것 같은게 있어요. 후기종류중에 옷을 입은 부분만 사진에 나오고 키랑 몸무게적는게 새로생겼으면 좋겠어요. 스타일 후기가 그 옷을 활용한 코디를 공유하기 위한 목적으로 머리부터 발끝까지 다 나오는거잖아요. 근데 저는 그냥 '어느정도 키 몸무게의 사람이 이사이즈에서 이런 핏이구나' 정도가 궁금하니까 사이즈 키 몸무게 적고 사진에는 옷을 입고 입은 부분만 다 나오는 후기가 새로 생겼으면 젛겠습니당!
263,쭈낚,3개,2020년 10월 10일,인터페이스에서는 굳이 단점이 없는거 같아요. 무난무난하니 데스크탑 홈페이지보다 비교적 간결함 그치만 로딩속도가 너무느리고 렉이 심해요ㅠㅠ
264,도드리,5개,2022년 9월 28일,"이번 리뉴얼 이후로 앱이 바뀌었는데, 예전에 있던 업데이트 목록은 있었으면 좋겠어요 새로운 제품이 올라올때 어떤 브랜드 신상품이 나오는지 볼 수 있어서 좋았는데 , 지금은 없어졌는지 다른곳에 있는지 찾기가 어렵네요 ㅠㅠ 브랜드마다 신상출시시 제품확인할 수 있는 창이 있으면 좋겠어요 . !!!!!!!"
265,정현호,1개,2024년 3월 27일,업데이트했는데도 자꾸 업데이트하라고 뜨네
266,정효은,5개,2023년 11월 8일,빠른 배송 좋은 제품😘 왜 이제야 여길 알았나 후회중ㅜ 넘나 잘 이용하고 있습니당
267,김정국,5개,2024년 1월 24일,종류가 많고 설명이 좋음
268,김지은,5개,2023년 12월 4일,첫구매 할인쿠폰과 첫구매 쿠폰으로 예쁜 옷 저렴하게 샀어요. 적립금까지 쓸 수 있어 계속 쇼핑하게 되네요.
269,앵우,2개,2022년 5월 20일,리뷰 사진 보고 나올때마다 초기화되는거나 보유쿠폰들중에 개인브랜드류 제외해주는 필터기능이나 사용하다보면 이래저래 불편한 점들이 꽤 보이는데 개발자분들은 어플을 사용 안하시는건지 오랫동안 1등 도메쇼핑몰을 유지하는 어플치곤 업데이트 및 개선이 잘 되는거같지는 않다.
270,Google 사용자,1개,2020년 4월 3일,"어제까지 무신사로 잘 들어가지다가 오늘 어느 순간 어플 켰더니 멋대로 우신사로 들어가지더니 그 뒤로는 아무리 무신사 눌러도 1초동안 무신사 로딩되다가 바로 우신사로 연결됩니다. 우신사 버튼을 누르지도 않았는데 우신사만 뜨고, 아무리 무신사 눌러도 계속 우신사만 떠요. 어플 삭제하고 다시 깔아봐도 로그인하면 바로 우신사가 뜨고 이게 반복됩니다. 매우 불편하네요. 수정해주세요."
271,ᄋᄋ,3개,2023년 12월 24일,실측 사이즈 필터있는게 너무 편했는데 왜 없어졌나요 다시 생겼음 좋겠네요
272,arose axl,5개,2024년 2월 19일,여러가지 옷을 비교하며 살수 있어 좋습니다.^^
273,Google 사용자,5개,2019년 7월 25일,( 00777)츄 천인 입~력 이번에도 잔뜩 질렀습니당! 브랜드 옷도 할인 많이해서 너무 좋아요^^ 특히 배송 무료배송이라는 점이 너무나도 좋아요. 다른 비슷한 어플 많은데 어플 디자인이 깔끔하고 군더더기 없어서 좋습니다 !! 좋은 품질과 친절한 서비스에 더욱 투자를 했으면 좋겠습니다 앞으로도 좋은제품 많이 보여주시길!^^이벤트도 다양해서 좋네요!!!!^^수고하세요~
274,해일 youtube,5개,2023년 11월 18일,가격 합리적이고 디자인 맘에들고 특히나 세일 많이 해서 좋아요
275,Google 사용자,5개,2019년 8월 31일,ㅊㅜ 천이ㄴ: aaaa7 다 좋은데 기능적인 면에서 추가되면 좋겠다 싶은 것 중에 대분류나 소분류 중에서 '제외'할 수 있는 기능이 추가됬으면 좋겠네요. 예를 들어서 '상의' 중 '반팔티셔츠'를 제외하고 검색할 수 있게끔 한다던가요!
276,유니,4개,2022년 12월 9일,"처음엔 이해하기 힘들었지만,볼수록 가능한 이벤트와 원하는상품을 바로 볼수있다는것과 예상가격 예측가능하다에 전 만족합니다 하나, 체험단에대한 문자연락은 주시면 안되나요? 전 매번 잊어버리게되서 기회를 놓치니 너무 아까와요 ㅠㅠ 대시라도 하고싶은데말예요 저한테라도 체험단소식 알려주셔요 👍😁💦🔊🔊"
277,펀치펭귄,1개,2021년 5월 3일,지금까지 여러번 논란이 있었다는거 아실겁니다. 그래도 사용하기 좋은 사이트였고 꾸준히 발전해나가는 기업이었기에 앞으로 개선이 될거라고 생각하고 이용해왔습니다. 그러나 오랜기간동안 유의미한 변화는 보이지 않고 앞으로도 변화될거라는 기대가 사그라졌습니다. 그렇기에 무신사가 앞으로 어떻게 발전하고 변화할지는 알 수가 없으나 그래도 일말의 애정을 가지고 있는 입장에서 보자면 주 이용자들이 원하는 방향으로 개선이 되지 않는다면 주 이용자들이 떠나게 될 수 밖에 없다는 것을 알아주시길 바랍니다. 지금까지 잘 이용했습니다.
278,강남혁,5개,2023년 11월 24일,맘에드는 물건 찾기도 편하고 등급별 할인도 나름 쏠쏠하네요 추천드려요
279,유홍주,2개,2023년 2월 1일,수요가 높은 신발을 구매했는데 재고소진이 되었음에도 불구하고 정보창에는 재고가 남아있어 구매가능한 상태로 확인됨 신발을 구매했더니 5일째 출고처리중에서 멈춤. 뭔가 이상해서 1대1 문의를 했더니 그제서야 재고소진으로 취소를 해야한다고 알림. 잠깐사이 재고가 소진될 정도로 수요가 높은수준이면 비슷한 상황의 구매자도 있을법한데 이를 구매자로부터 문의를 받기 전에 공지하지 않고 후에 문의를 직접해야 문제를 알려줌. 물론 담당브랜드와의 연락이 필요하다는 것과 사전에 일일이 확인이 어렵다는것은 이해하지만 이건 좀 아닌듯. 실망ㅠ
280,김민희,3개,2022년 11월 3일,"다 좋은데..정말 다 괜찮은데..상세보기나 결제,쿠폰,후기 등..누를 때마다 오류 창이 계속 떠서 많이 불편해요..특히 결제할 때마다 계속 껏다키고 해도 고쳐지지 않고 결제만 하는데 10분 이상 걸리네요..ㅠㅠ"
281,YH LEE,1개,2021년 5월 5일,예전부터 좋은품질에 합리적인 가격때문에 많이이용했었는데 어느순간부터 황금보세가 유명브랜드처럼 가격을받고 품질은 유니클로 무인양품보다 못한 상품들이 많아 이용을 잘 안하게됐었습니다. 그런데 이번 메갈사태 대처하는 모습을보고 주 구매층이 누군지도 파악을 못하는 것 같은데다 이용자에게 훈계질까지 하는거보면 이제 놓아줄때가 된것 같네요
282,한성현,1개,2020년 9월 28일,상품 교환 신청했는데 색상변경 바 없어서 상세내용에 색상교환 썼는데 상세내용칸 내용 반영은 안한다네요 색상변경바라도 쳐 만들어 놓던가 배송비는 배송비대로 쳐 받고;; 5렙찍으면서 느낀건데 인터넷보면 무신사에서파는 제품이랑 동일한데 싸게 파는 곳도 많으니까 다른데 한번 씩 검색하고 이용하세요 여기 상세내용에 자세하게 써도 쳐 안읽으니까 조심하고요
283,Google 사용자,1개,2019년 6월 1일,"무신사는 좋은데 어플은 오늘 상태가 최악이네요.. 예전에 이런 적 없었는데 왜 이런가요ㅠㅠ 잘 쓰고 있었고 장바구니 담아뒀던거 생각나서 결제하려고 다시 들어가니까 계속 네트워크 타령하고, 지웠다가 다시 깔아도 안되길래 나중에 들어가니 아무리 로그인을 해도 로그인 전으로 돌아가버려서 답답하네요ㅠㅠ 어플 지우고 사이트에서 이용해야겠어요"
284,Avril Sohn,3개,2022년 2월 13일,주변에서 무신사 이야기를 워낙 많이 듣고 광고도 여러번 봐서 어플 설치 후 구매도 꽤 많이 하고 한달동안 어플을 사용해봤는데요. 장점은 많은 브랜드를 모아놓고 각 브랜드별 특성 중 내 취향에 맞게 골라 입을 수 있다는 겁니다. 그런데 어플이 뛰어나게 우수한 점은 못 찾더라도 이만하면 괜찮다는 생각은 들지만 이외에 모든 사람이 하는 서비스는 갈 길이 멀었다는 생각을 많이 했습니다. 왜냐하면 고객센터 직원분들이 전반적으로 친절하지 않습니다. 말그대로 친절한 응대도 아니며 상세한 설명도 해주질 않으니 고객 입장에서는 그저 답답했습니다. 굉장히 널리 알려진 쇼핑몰이어서 한껏 기대감에 부풀어 사용하게 된 것이 너무 높은 기준을 갖게 만들어 쇼핑한 결과물과 과정에 제가 더 아쉬움을 느꼈나 싶기도 합니다. 아직은 저는 일반 온라인 브랜드와 백화점 쇼핑을 하고 싶습니다. 쇼핑한 옷들은 맘에 듭니다. 그렇지만 다른 쇼핑몰에서도 찾을 수 있는 수준이기에 이왕이면 좀 더 나은 서비스를 택하고 싶습니다.
285,박경민,5개,2022년 1월 8일,잘 사용하고 있습니다 무신사 애자로서 2가지 건의사항이 있는데요 1. 다른 컬러는 어떠신가요에 색상기입해주세요 어두운색은 클릭해서 확대사진을 봐야만 확인가능하네요 그리고 색상순번은 고정이었음 하네요 다른 색상 클릭하면 순서가 바뀌어서 어두운 색 확인하기가 더 힘들어요 2. 무게감말고 실제 무게정보와 타제품과 비교정보 등도 있었음 합니다
286,Woodstock,4개,2022년 12월 20일,"19~20년도쯤의 무신사 어플이 진짜 딱 깔끔하고 필요한 기능만 있어서 좋았는데, 최근에 사업 확장하면서 어플에 별의별 기능들이 다 들어간 느낌이라 조잡스러워요(마치 카카오톡처럼..) 그리고 기분탓인지는 모르겠지만 어플도 전보다 더 버벅거려요 ㅠ 그래서 요즘엔 잘 들어가지 않게 되네요.. 무신사 좋아했던 사람으로서 넘 아쉬워서 리뷰 남겨요 ㅠ"
287,황영현,3개,2023년 6월 28일,앱이 너무 무겁고 느림. 무신사라이브를 넣지를 않나 이러면 점점느려질듯. 쓸모없거나 거의 이용안하는 메뉴는 과감히 정리하고 앱을 더 가볍게 만드는걸 제안합니다.
288,임중섭,1개,2020년 9월 20일,오... 옷 보러 들어가는 어플인데 옷볼려면 화면을 2개는 이동해야 하는게 놀랍네요. 첫 뜨는 화면엔 옷 랭킹 제외하면 옷 구매나 상품 리스트 관련된곤 없다고 봐도 무방할 정도네요. 가장 중요한 첫 화면을 쓸데없는 걸로 가아아아아아득 채워놓고 정작 어플 목적에 해당하는 옷 구매는 구석바리에 박혀있는 아름다운 어플이군요.. 제 인생 처음으로 어플 사용을 위해 사용법 찾으러 앱 마켓까지 흘러들어 왔네요
289,Google 사용자,1개,2019년 6월 1일,네트워크에 접속을 할 수가 없다면서 계속 안되네요 ㅋㅋㅋㅋㅋ 진짜 완전 화나 죽을거 같은데 어떻게 생각하시나요? 좀 고쳐주세요. 안정화를 진행하셨다면서 업데이트 해도 똑같습니까? 삭제했다가 다시 깔아도 똑같고 폰을 껐다켜봐도 똑같잖아요;; 빨리 좀 고쳐주세요. 옷을 사려했는데 ㄹㅇ 스트레스만 받고 갑니다
290,GloryK,1개,2021년 5월 4일,"이제 곧 여성 전용 쇼핑앱으로의 전환을 준비 중인 것 같아 떠납니다. 다만 미리 언질이라도 주셨으면 소비자로서도 준비를 할 수 있었을 텐데, 뒤에서 여성회원 쿠폰만 뿌리고 자기들만의 은밀한 제스쳐를 사용하면서 몰래 진행하다가 들키신 부분은 너무 아쉽습니다. 그래도 옛 정에 별을 더 드리고 싶었는데 엄지와 검지로는 하나밖에 안 집어져서 어쩔 수 없이 한 개만 드립니다. 진짜니까 오해 마세요."
291,김수민,2개,2022년 4월 21일,"2~3년전 버전이 훨 좋음. 가끔 오류가 나서 열리지 않거나, 하단의 메뉴가 계속 중앙에 자리잡으며 내려가지않는 오류가 날 때도 있었음. 너무 과한 UI, 갈수록 모바일 게임마냥 방대해지는 소모 용량...무지 신발이 많은 사이트가 아니라 무지 용량크고 신선하고싶은 사이트인 듯"
292,허무진,5개,2022년 6월 8일,"무신사 어플은 제게 백화점 같은 어플입니다. 멀리 가지 않아도 어느곳에서나 옷과 신발을 쇼핑할 수 있는 편리함이 매우 편한 것 같습니다. 다만 입어볼 수 없기 때문에 그점이 조금 불편할 수 있는데, 실측 사이즈나 모델의 착용사진을 통해 제가 시켜야할 사이즈를 유추할 수 있고, 제 몸에 맞지 않더라도 반품을 쉽게 할 수 있기 때문에 굉장히 좋습니다. 다른앱들은 오류나 버벅임도 많은데 무신사는 오류나 버벅임도 굉장히 적은편입니다. 옷을 사기위해 고민하시는 분들은 한번쯤 무신사 앱을 사용해보시는 것도 좋다고 생각합니다."
293,임영진,2개,2022년 10월 6일,일단 조금은 비합리한 부분이 있음 널디문제인지 무신사문제인지 모르겠지만 구매하면 입금확인 후 출고 준비중 상태가 되는데 출고 준비중일때 주문을 취소할 수 없음 그래서 입금확인때 취소를 해야하는데 이게 오토인거 같음 그래서 주문하자마자 출고 준비중으로 넘어감 그래서 나중에 환불하면 결국 5000원을 내야함 이걸 조금 노리고 만든 시스템인거 같아서 별로였음
294,이승민,1개,2023년 2월 27일,"진짜 시스템 서비스 최악인 것 같아요. 별 하나도 아깝습니다. 처음에 하자 있는 제품을 보내와서 문의 사항 남겼는데 답신이 3일, 4일 지나도 안 와서 브랜드 측에 직접 전화해서 문의 드렸습니다. 그 후 새제품 보내주시기로 했는데 이번에는 사이즈를 완전 작은걸로 보내셔서 또 못 받고... 한정판 제품이었는데 저보다 늦게 구매하신 분은 제품 받고 저는 제품 받지도 못하고 이제 구하지도 못하네요 ^^ 진짜 시스템 똑바로 갖추시거나 제대로 확인좀 해주세요. 아니면 브랜드 측에 제대로 요청사항 전달 해주시던가요. 제가 처음으로 이건 꼭 갖고싶다해서 구매했던 제품이었는데 참... 할말이 없네요."
295,김구봉구,5개,2022년 5월 30일,마이페이지에 옷장 카테고리를 만들어서제가 찾은 아이템들을 머리부터 발끝까지 하나의 코디로 직접 조합해서 저장할수 있는 기능이 있으면 좋겠습니다. 옛날에 옷입히기 게임 하듯이 옷을 직접 조합하는 재미도 있고 따로따로 사는것보다 한꺼번에 코디 맞춰서 사려는 생각때문에 조금더 사용자들이 구매욕구가 생기지 않을까 싶습니다. 그리고 무신사에서 올려주는 코디도 옷장에 저장할수 있게되면 좋을것 같습니다.
296,Google 사용자,1개,2019년 12월 1일,진짜 쓰레기같이 운영하네요 블프데이 이런 대형 이벤트를하면 서버관리를 해야지 응모도 안되고 네트워크 잘 연결되있는데 네트워크 접속안됐다고 뜨고; 로그인조차도 안되는데 이딴식으로 관리할거면 왜 업데이트를 하는건지도 모르겠네요 진짜 갈수록 사용하기싫어집니다ㅎㅎ ;
297,윤창현,1개,2022년 11월 23일,"이렇게 최악인 온라인 쇼핑몰은 처음입니다. 교환, 환불이 지나치게 오래걸립니다. 가져간 옷을 가져간 지 4일이 되었는데 아무런 연락, 표시도 없이 그냥 입금된 상태라고만 뜨고 기약없이 그냥 오래 기다리게만 했습니다 그래서 1:1문의로 질문했는데 이것도 2일동안 답변이 없습니다. 진짜 고객관리 서비스 이런식으로 해놓을 거였으면 왜 만드신 거죠? 진짜 일부러 사람들 화병나서 죽게 만드려나 하는 생각까지 하게 됩니다."
298,로수,4개,2020년 10월 11일,너무 좋고 쇼핑앱 중 가장 잘 쓰고 있는 앱이에요. 그런데 스타일 후기를 쓰다보니 옛날 것들은 좀 구려서 수정해서 사진을 바꾸고 싶을 때가 있는데 후기글은 수정이 아예 안되네요... 어떻게 안될까요? +옷 중에 쿠폰 적용이 안되는 경우가 있는데 그것을 확인할 때 좀 번거로워요 이것도 좀 고쳐주시면 좋겠습니다
299,IAM IAN,5개,2020년 9월 26일,자동으로 쿠폰이 채워져있기 때문에 할인 쿠폰을 몰라서 못 쓰는 경우는 없어요 그리고 적립금도 굉장히 많이 줍니다 약간 아쉬운 점이 있다면 예쁘게 올린 후기 사진보다 무신사에서 정해놓은 틀에 맞춰진 후기여야 적립금을 주기 때문에 스타일 후기를 볼 때 정확한 정보를 얻기가 어려워요..ㅠ (너무 좋은 상품은 예쁘게 인증해서 다들 알려주고 싶은데 적립금을 받으려면 그렇게 하지 못한다는게 정말 아쉬워요) 그것말고는 정말 좋습니다. 제 주변 사람들에게도 다 홍보해서 제 주변은 다 이 어플 씁니다~ :-)
